Validation error, mini-batch count, D/T.
0.26141, 6700, 2018-03-08 22:15:03.
0.260769, 6750, 2018-03-08 22:15:26.
0.264789, 6800, 2018-03-08 22:15:48.
0.257178, 6850, 2018-03-08 22:16:10.
0.255416, 6900, 2018-03-08 22:16:35.
0.259904, 6950, 2018-03-08 22:16:57.
0.260991, 7000, 2018-03-08 22:17:19.
0.255865, 7050, 2018-03-08 22:17:42.
0.254686, 7100, 2018-03-08 22:18:06.
0.254789, 7150, 2018-03-08 22:18:29.
0.255181, 7200, 2018-03-08 22:18:51.
0.251904, 7250, 2018-03-08 22:19:16.
0.258237, 7300, 2018-03-08 22:19:38.
0.257471, 7350, 2018-03-08 22:20:00.
0.252652, 7400, 2018-03-08 22:20:22.
0.254012, 7450, 2018-03-08 22:20:45.
0.25809, 7500, 2018-03-08 22:21:07.
0.249702, 7550, 2018-03-08 22:21:31.
0.260765, 7600, 2018-03-08 22:21:53.
0.251522, 7650, 2018-03-08 22:22:15.
0.252193, 7700, 2018-03-08 22:22:38.
0.257327, 7750, 2018-03-08 22:23:00.
0.256812, 7800, 2018-03-08 22:23:22.
0.264203, 7850, 2018-03-08 22:23:44.
0.251024, 7900, 2018-03-08 22:24:06.
0.253271, 7950, 2018-03-08 22:24:28.
0.253462, 8000, 2018-03-08 22:24:51.
0.256904, 8050, 2018-03-08 22:25:13.
0.25653, 8100, 2018-03-08 22:25:35.
0.25243, 8150, 2018-03-08 22:25:57.
0.252939, 8200, 2018-03-08 22:26:19.
0.259772, 8250, 2018-03-08 22:26:42.
0.273547, 8300, 2018-03-08 22:27:04.
0.260869, 8350, 2018-03-08 22:27:26.
0.256943, 8400, 2018-03-08 22:27:48.
0.248737, 8450, 2018-03-08 22:28:13.
0.251418, 8500, 2018-03-08 22:28:35.
0.260972, 8550, 2018-03-08 22:28:57.
0.254963, 8600, 2018-03-08 22:29:19.
0.25512, 8650, 2018-03-08 22:29:41.
0.252854, 8700, 2018-03-08 22:30:03.
0.253414, 8750, 2018-03-08 22:30:26.
0.253737, 8800, 2018-03-08 22:30:48.
0.253478, 8850, 2018-03-08 22:31:10.
0.255683, 8900, 2018-03-08 22:31:32.
0.255444, 8950, 2018-03-08 22:31:54.
0.253068, 9000, 2018-03-08 22:32:16.
0.255135, 9050, 2018-03-08 22:32:38.
0.254005, 9100, 2018-03-08 22:33:01.
0.266859, 9150, 2018-03-08 22:33:23.
0.25215, 9200, 2018-03-08 22:33:45.
0.261531, 9250, 2018-03-08 22:34:07.
0.253518, 9300, 2018-03-08 22:34:29.
0.256544, 9350, 2018-03-08 22:34:51.
0.248819, 9400, 2018-03-08 22:35:13.
0.251251, 9450, 2018-03-08 22:35:35.
0.25481, 9500, 2018-03-08 22:35:57.
0.254146, 9550, 2018-03-08 22:36:20.
0.249392, 9600, 2018-03-08 22:36:42.
0.250416, 9650, 2018-03-08 22:37:04.
0.25139, 9700, 2018-03-08 22:37:26.
0.249589, 9750, 2018-03-08 22:37:48.
0.251128, 9800, 2018-03-08 22:38:10.
0.25229, 9850, 2018-03-08 22:38:32.
0.247158, 9900, 2018-03-08 22:38:57.
0.25917, 9950, 2018-03-08 22:39:19.
0.248374, 10000, 2018-03-08 22:39:41.
0.251455, 10050, 2018-03-08 22:40:04.
0.247896, 10100, 2018-03-08 22:40:26.
0.248987, 10150, 2018-03-08 22:40:48.
0.249611, 10200, 2018-03-08 22:41:10.
0.249877, 10250, 2018-03-08 22:41:32.
0.260108, 10300, 2018-03-08 22:41:55.
0.249274, 10350, 2018-03-08 22:42:17.
0.246531, 10400, 2018-03-08 22:42:42.
0.255764, 10450, 2018-03-08 22:43:04.
0.251166, 10500, 2018-03-08 22:43:26.
0.248222, 10550, 2018-03-08 22:43:48.
0.250831, 10600, 2018-03-08 22:44:11.
0.244656, 10650, 2018-03-08 22:44:35.
0.260049, 10700, 2018-03-08 22:44:58.
0.246057, 10750, 2018-03-08 22:45:20.
0.253433, 10800, 2018-03-08 22:45:42.
0.249051, 10850, 2018-03-08 22:46:04.
0.243171, 10900, 2018-03-08 22:46:29.
0.248586, 10950, 2018-03-08 22:46:52.
0.257046, 11000, 2018-03-08 22:47:14.
0.249628, 11050, 2018-03-08 22:47:36.
0.252491, 11100, 2018-03-08 22:47:59.
0.249391, 11150, 2018-03-08 22:48:21.
0.243275, 11200, 2018-03-08 22:48:43.
0.249667, 11250, 2018-03-08 22:49:05.
0.245258, 11300, 2018-03-08 22:49:27.
0.255421, 11350, 2018-03-08 22:49:50.
0.246578, 11400, 2018-03-08 22:50:12.
0.243512, 11450, 2018-03-08 22:50:34.
0.246264, 11500, 2018-03-08 22:50:56.
0.251858, 11550, 2018-03-08 22:51:18.
0.247733, 11600, 2018-03-08 22:51:41.
0.245901, 11650, 2018-03-08 22:52:03.
0.248001, 11700, 2018-03-08 22:52:25.
0.25113, 11750, 2018-03-08 22:52:47.
0.249807, 11800, 2018-03-08 22:53:09.
0.251484, 11850, 2018-03-08 22:53:31.
0.242884, 11900, 2018-03-08 22:53:56.
0.244463, 11950, 2018-03-08 22:54:18.
0.252475, 12000, 2018-03-08 22:54:41.
0.246294, 12050, 2018-03-08 22:55:03.
0.246149, 12100, 2018-03-08 22:55:25.
0.243699, 12150, 2018-03-08 22:55:47.
0.246971, 12200, 2018-03-08 22:56:09.
0.249806, 12250, 2018-03-08 22:56:32.
0.246091, 12300, 2018-03-08 22:56:54.
0.24147, 12350, 2018-03-08 22:57:19.
0.248159, 12400, 2018-03-08 22:57:41.
0.240401, 12450, 2018-03-08 22:58:05.
0.245471, 12500, 2018-03-08 22:58:28.
0.23933, 12550, 2018-03-08 22:58:52.
0.246012, 12600, 2018-03-08 22:59:14.
0.243693, 12650, 2018-03-08 22:59:36.
0.250466, 12700, 2018-03-08 22:59:59.
0.241961, 12750, 2018-03-08 23:00:21.
0.250679, 12800, 2018-03-08 23:00:43.
0.252194, 12850, 2018-03-08 23:01:05.
0.25102, 12900, 2018-03-08 23:01:27.
0.244151, 12950, 2018-03-08 23:01:50.
0.24438, 13000, 2018-03-08 23:02:12.
0.245572, 13050, 2018-03-08 23:02:34.
0.2493, 13100, 2018-03-08 23:02:56.
0.244777, 13150, 2018-03-08 23:03:18.
0.260924, 13200, 2018-03-08 23:03:41.
0.248171, 13250, 2018-03-08 23:04:03.
0.24037, 13300, 2018-03-08 23:04:25.
0.245472, 13350, 2018-03-08 23:04:47.
0.239524, 13400, 2018-03-08 23:05:09.
0.245138, 13450, 2018-03-08 23:05:31.
0.247164, 13500, 2018-03-08 23:05:54.
0.252191, 13550, 2018-03-08 23:06:16.
0.243083, 13600, 2018-03-08 23:06:38.
0.241644, 13650, 2018-03-08 23:07:00.
0.242496, 13700, 2018-03-08 23:07:22.
0.250139, 13750, 2018-03-08 23:07:44.
0.246676, 13800, 2018-03-08 23:08:07.
0.239693, 13850, 2018-03-08 23:08:29.
0.243264, 13900, 2018-03-08 23:08:51.
0.241503, 13950, 2018-03-08 23:09:13.
0.245393, 14000, 2018-03-08 23:09:36.
0.244346, 14050, 2018-03-08 23:09:58.
0.252096, 14100, 2018-03-08 23:10:20.
0.240919, 14150, 2018-03-08 23:10:42.
0.245435, 14200, 2018-03-08 23:11:04.
0.24218, 14250, 2018-03-08 23:11:27.
0.244914, 14300, 2018-03-08 23:11:49.
0.244873, 14350, 2018-03-08 23:12:11.
0.243472, 14400, 2018-03-08 23:12:33.
0.244881, 14450, 2018-03-08 23:12:55.
0.241131, 14500, 2018-03-08 23:13:17.
