Validation error, mini-batch count, D/T.
0.346067, 6700, 2018-03-09 11:12:51.
0.343971, 6750, 2018-03-09 11:13:16.
0.343998, 6800, 2018-03-09 11:13:38.
0.34375, 6850, 2018-03-09 11:14:04.
0.347637, 6900, 2018-03-09 11:14:26.
0.344163, 6950, 2018-03-09 11:14:48.
0.343494, 7000, 2018-03-09 11:15:13.
0.346227, 7050, 2018-03-09 11:15:35.
0.3469, 7100, 2018-03-09 11:15:58.
0.343897, 7150, 2018-03-09 11:16:20.
0.344836, 7200, 2018-03-09 11:16:42.
0.341063, 7250, 2018-03-09 11:17:07.
0.346401, 7300, 2018-03-09 11:17:29.
0.343934, 7350, 2018-03-09 11:17:51.
0.342153, 7400, 2018-03-09 11:18:13.
0.345913, 7450, 2018-03-09 11:18:35.
0.339636, 7500, 2018-03-09 11:19:00.
0.342154, 7550, 2018-03-09 11:19:22.
0.344054, 7600, 2018-03-09 11:19:45.
0.339511, 7650, 2018-03-09 11:20:10.
0.340783, 7700, 2018-03-09 11:20:32.
0.341625, 7750, 2018-03-09 11:20:54.
0.340036, 7800, 2018-03-09 11:21:16.
0.342975, 7850, 2018-03-09 11:21:38.
0.340164, 7900, 2018-03-09 11:22:00.
0.342339, 7950, 2018-03-09 11:22:23.
0.341518, 8000, 2018-03-09 11:22:45.
0.342004, 8050, 2018-03-09 11:23:07.
0.340571, 8100, 2018-03-09 11:23:29.
0.341602, 8150, 2018-03-09 11:23:51.
0.340435, 8200, 2018-03-09 11:24:13.
0.341412, 8250, 2018-03-09 11:24:35.
0.341418, 8300, 2018-03-09 11:24:58.
0.340382, 8350, 2018-03-09 11:25:20.
0.341158, 8400, 2018-03-09 11:25:42.
0.342526, 8450, 2018-03-09 11:26:04.
0.341237, 8500, 2018-03-09 11:26:27.
0.341348, 8550, 2018-03-09 11:26:49.
0.338627, 8600, 2018-03-09 11:27:14.
0.338252, 8650, 2018-03-09 11:27:39.
0.338671, 8700, 2018-03-09 11:28:01.
0.34135, 8750, 2018-03-09 11:28:24.
0.341848, 8800, 2018-03-09 11:28:46.
0.34341, 8850, 2018-03-09 11:29:08.
0.344786, 8900, 2018-03-09 11:29:30.
0.339074, 8950, 2018-03-09 11:29:52.
0.337726, 9000, 2018-03-09 11:30:18.
0.338217, 9050, 2018-03-09 11:30:40.
0.337502, 9100, 2018-03-09 11:31:06.
0.337578, 9150, 2018-03-09 11:31:28.
0.344156, 9200, 2018-03-09 11:31:50.
0.339067, 9250, 2018-03-09 11:32:13.
0.337302, 9300, 2018-03-09 11:32:38.
0.337002, 9350, 2018-03-09 11:33:03.
0.340528, 9400, 2018-03-09 11:33:25.
0.338286, 9450, 2018-03-09 11:33:47.
0.337742, 9500, 2018-03-09 11:34:09.
0.33792, 9550, 2018-03-09 11:34:31.
0.336952, 9600, 2018-03-09 11:34:56.
0.338439, 9650, 2018-03-09 11:35:19.
0.33776, 9700, 2018-03-09 11:35:41.
0.340781, 9750, 2018-03-09 11:36:03.
0.341667, 9800, 2018-03-09 11:36:25.
0.337603, 9850, 2018-03-09 11:36:48.
0.339581, 9900, 2018-03-09 11:37:10.
0.335075, 9950, 2018-03-09 11:37:35.
0.339412, 10000, 2018-03-09 11:37:57.
0.337164, 10050, 2018-03-09 11:38:20.
0.341508, 10100, 2018-03-09 11:38:42.
0.337691, 10150, 2018-03-09 11:39:04.
0.335308, 10200, 2018-03-09 11:39:26.
0.33672, 10250, 2018-03-09 11:39:48.
0.336443, 10300, 2018-03-09 11:40:10.
0.33676, 10350, 2018-03-09 11:40:32.
0.334352, 10400, 2018-03-09 11:40:57.
0.337485, 10450, 2018-03-09 11:41:19.
0.33451, 10500, 2018-03-09 11:41:41.
0.339366, 10550, 2018-03-09 11:42:03.
0.336886, 10600, 2018-03-09 11:42:25.
0.335368, 10650, 2018-03-09 11:42:48.
0.336197, 10700, 2018-03-09 11:43:10.
0.335256, 10750, 2018-03-09 11:43:32.
0.334765, 10800, 2018-03-09 11:43:54.
0.33506, 10850, 2018-03-09 11:44:16.
0.335141, 10900, 2018-03-09 11:44:39.
0.337941, 10950, 2018-03-09 11:45:01.
0.335803, 11000, 2018-03-09 11:45:23.
0.334387, 11050, 2018-03-09 11:45:45.
0.337561, 11100, 2018-03-09 11:46:07.
0.335182, 11150, 2018-03-09 11:46:30.
0.335134, 11200, 2018-03-09 11:46:52.
0.333449, 11250, 2018-03-09 11:47:16.
0.335716, 11300, 2018-03-09 11:47:38.
0.334208, 11350, 2018-03-09 11:48:00.
0.333333, 11400, 2018-03-09 11:48:25.
0.334739, 11450, 2018-03-09 11:48:47.
0.339723, 11500, 2018-03-09 11:49:09.
0.336543, 11550, 2018-03-09 11:49:31.
0.33289, 11600, 2018-03-09 11:49:56.
0.335295, 11650, 2018-03-09 11:50:18.
0.333367, 11700, 2018-03-09 11:50:41.
0.333423, 11750, 2018-03-09 11:51:03.
0.333621, 11800, 2018-03-09 11:51:25.
0.33295, 11850, 2018-03-09 11:51:47.
0.33471, 11900, 2018-03-09 11:52:10.
0.334781, 11950, 2018-03-09 11:52:32.
0.333405, 12000, 2018-03-09 11:52:54.
