Validation error, mini-batch count, D/T.
0.145138, 6700, 2018-03-10 02:42:24.
0.147725, 6750, 2018-03-10 02:44:16.
0.143725, 6800, 2018-03-10 02:46:09.
0.144032, 6850, 2018-03-10 02:48:02.
0.14297, 6900, 2018-03-10 02:49:57.
0.149199, 6950, 2018-03-10 02:51:48.
0.150142, 7000, 2018-03-10 02:53:46.
0.145893, 7050, 2018-03-10 02:55:44.
0.141988, 7100, 2018-03-10 02:57:39.
0.17042, 7150, 2018-03-10 02:59:35.
0.1475, 7200, 2018-03-10 03:01:29.
0.146432, 7250, 2018-03-10 03:03:21.
0.146189, 7300, 2018-03-10 03:05:12.
0.146737, 7350, 2018-03-10 03:07:07.
0.144496, 7400, 2018-03-10 03:09:00.
0.14593, 7450, 2018-03-10 03:10:53.
0.141585, 7500, 2018-03-10 03:12:50.
0.144613, 7550, 2018-03-10 03:14:43.
0.141579, 7600, 2018-03-10 03:16:41.
0.142458, 7650, 2018-03-10 03:18:34.
0.151848, 7700, 2018-03-10 03:20:28.
0.143551, 7750, 2018-03-10 03:22:22.
0.143838, 7800, 2018-03-10 03:24:17.
0.141909, 7850, 2018-03-10 03:26:12.
0.142158, 7900, 2018-03-10 03:28:07.
0.143487, 7950, 2018-03-10 03:29:58.
0.139713, 8000, 2018-03-10 03:31:57.
0.140001, 8050, 2018-03-10 03:33:53.
0.139847, 8100, 2018-03-10 03:35:45.
0.141583, 8150, 2018-03-10 03:37:37.
0.141514, 8200, 2018-03-10 03:39:29.
0.138383, 8250, 2018-03-10 03:41:28.
0.140772, 8300, 2018-03-10 03:43:22.
0.140457, 8350, 2018-03-10 03:45:13.
0.140559, 8400, 2018-03-10 03:47:05.
0.138094, 8450, 2018-03-10 03:49:00.
0.137885, 8500, 2018-03-10 03:50:53.
0.139979, 8550, 2018-03-10 03:52:44.
0.138682, 8600, 2018-03-10 03:54:40.
0.138005, 8650, 2018-03-10 03:56:33.
0.139207, 8700, 2018-03-10 03:58:24.
0.139064, 8750, 2018-03-10 04:00:22.
0.138165, 8800, 2018-03-10 04:02:16.
0.136623, 8850, 2018-03-10 04:04:14.
0.139379, 8900, 2018-03-10 04:06:06.
0.13708, 8950, 2018-03-10 04:08:00.
0.138244, 9000, 2018-03-10 04:09:54.
0.139267, 9050, 2018-03-10 04:11:48.
0.140326, 9100, 2018-03-10 04:13:39.
0.136346, 9150, 2018-03-10 04:15:33.
0.137938, 9200, 2018-03-10 04:17:27.
0.140764, 9250, 2018-03-10 04:19:20.
0.148323, 9300, 2018-03-10 04:21:14.
0.137136, 9350, 2018-03-10 04:23:03.
0.13697, 9400, 2018-03-10 04:24:53.
0.136121, 9450, 2018-03-10 04:26:51.
0.136381, 9500, 2018-03-10 04:28:44.
0.135924, 9550, 2018-03-10 04:30:44.
0.136046, 9600, 2018-03-10 04:32:37.
0.136306, 9650, 2018-03-10 04:34:30.
0.135658, 9700, 2018-03-10 04:36:27.
0.136205, 9750, 2018-03-10 04:38:20.
0.138702, 9800, 2018-03-10 04:40:11.
0.135371, 9850, 2018-03-10 04:42:05.
0.137003, 9900, 2018-03-10 04:44:00.
0.13504, 9950, 2018-03-10 04:45:57.
0.134517, 10000, 2018-03-10 04:47:55.
0.134564, 10050, 2018-03-10 04:49:49.
0.133817, 10100, 2018-03-10 04:51:43.
0.135138, 10150, 2018-03-10 04:53:40.
0.135862, 10200, 2018-03-10 04:55:35.
0.135587, 10250, 2018-03-10 04:57:26.
0.134793, 10300, 2018-03-10 04:59:19.
0.135571, 10350, 2018-03-10 05:01:12.
0.134767, 10400, 2018-03-10 05:03:05.
0.134686, 10450, 2018-03-10 05:05:01.
0.135282, 10500, 2018-03-10 05:06:53.
0.140166, 10550, 2018-03-10 05:08:46.
0.135975, 10600, 2018-03-10 05:10:39.
0.133774, 10650, 2018-03-10 05:12:37.
0.14212, 10700, 2018-03-10 05:14:30.
0.133752, 10750, 2018-03-10 05:16:28.
0.133919, 10800, 2018-03-10 05:18:24.
0.13608, 10850, 2018-03-10 05:20:18.
0.133133, 10900, 2018-03-10 05:22:16.
0.135249, 10950, 2018-03-10 05:24:08.
0.135916, 11000, 2018-03-10 05:25:59.
0.132017, 11050, 2018-03-10 05:27:56.
0.131944, 11100, 2018-03-10 05:29:55.
0.134161, 11150, 2018-03-10 05:31:48.
0.131815, 11200, 2018-03-10 05:33:41.
0.137512, 11250, 2018-03-10 05:35:35.
0.133629, 11300, 2018-03-10 05:37:28.
0.134002, 11350, 2018-03-10 05:39:22.
0.133751, 11400, 2018-03-10 05:41:13.
0.134856, 11450, 2018-03-10 05:43:10.
0.131921, 11500, 2018-03-10 05:45:02.
0.134038, 11550, 2018-03-10 05:46:57.
0.135594, 11600, 2018-03-10 05:48:50.
0.134294, 11650, 2018-03-10 05:50:44.
0.13847, 11700, 2018-03-10 05:52:37.
0.13061, 11750, 2018-03-10 05:54:34.
0.134713, 11800, 2018-03-10 05:56:28.
0.130858, 11850, 2018-03-10 05:58:21.
0.131752, 11900, 2018-03-10 06:00:12.
0.130295, 11950, 2018-03-10 06:02:09.
0.130891, 12000, 2018-03-10 06:04:05.
0.131579, 12050, 2018-03-10 06:06:00.
0.13111, 12100, 2018-03-10 06:07:54.
0.130883, 12150, 2018-03-10 06:09:50.
0.15976, 12200, 2018-03-10 06:11:41.
0.138004, 12250, 2018-03-10 06:13:36.
0.136782, 12300, 2018-03-10 06:15:26.
0.139437, 12350, 2018-03-10 06:17:21.
0.135957, 12400, 2018-03-10 06:19:10.
0.131354, 12450, 2018-03-10 06:21:05.
0.132379, 12500, 2018-03-10 06:23:00.
0.136233, 12550, 2018-03-10 06:24:52.
0.131279, 12600, 2018-03-10 06:26:48.
0.129749, 12650, 2018-03-10 06:28:48.
0.130265, 12700, 2018-03-10 06:30:40.
0.129669, 12750, 2018-03-10 06:32:37.
0.128677, 12800, 2018-03-10 06:34:31.
0.130009, 12850, 2018-03-10 06:36:24.
0.132015, 12900, 2018-03-10 06:38:18.
0.129196, 12950, 2018-03-10 06:40:10.
0.134393, 13000, 2018-03-10 06:42:03.
0.133788, 13050, 2018-03-10 06:43:55.
0.129507, 13100, 2018-03-10 06:45:49.
0.136464, 13150, 2018-03-10 06:47:39.
0.134317, 13200, 2018-03-10 06:49:32.
0.132275, 13250, 2018-03-10 06:51:27.
0.133875, 13300, 2018-03-10 06:53:20.
0.129742, 13350, 2018-03-10 06:55:13.
0.129933, 13400, 2018-03-10 06:57:07.
0.132946, 13450, 2018-03-10 06:58:58.
0.129212, 13500, 2018-03-10 07:00:54.
0.129793, 13550, 2018-03-10 07:02:47.
0.128115, 13600, 2018-03-10 07:04:43.
0.134258, 13650, 2018-03-10 07:06:37.
0.130823, 13700, 2018-03-10 07:08:31.
0.13025, 13750, 2018-03-10 07:10:24.
0.127541, 13800, 2018-03-10 07:12:18.
0.129173, 13850, 2018-03-10 07:14:12.
0.127825, 13900, 2018-03-10 07:16:06.
0.133038, 13950, 2018-03-10 07:18:00.
0.128089, 14000, 2018-03-10 07:19:52.
0.127908, 14050, 2018-03-10 07:21:45.
0.130905, 14100, 2018-03-10 07:23:38.
0.128584, 14150, 2018-03-10 07:25:30.
0.126658, 14200, 2018-03-10 07:27:26.
0.129074, 14250, 2018-03-10 07:29:23.
0.129744, 14300, 2018-03-10 07:31:17.
0.128732, 14350, 2018-03-10 07:33:13.
0.127511, 14400, 2018-03-10 07:35:04.
0.129446, 14450, 2018-03-10 07:36:56.
0.129275, 14500, 2018-03-10 07:38:49.
0.139376, 14550, 2018-03-10 07:40:45.
0.129365, 14600, 2018-03-10 07:42:38.
0.129524, 14650, 2018-03-10 07:44:28.
0.128231, 14700, 2018-03-10 07:46:19.
0.13023, 14750, 2018-03-10 07:48:12.
0.129947, 14800, 2018-03-10 07:50:08.
0.12854, 14850, 2018-03-10 07:52:02.
0.129325, 14900, 2018-03-10 07:53:54.
0.130695, 14950, 2018-03-10 07:55:49.
0.128223, 15000, 2018-03-10 07:57:41.
0.126001, 15050, 2018-03-10 07:59:37.
0.126828, 15100, 2018-03-10 08:01:29.
0.126124, 15150, 2018-03-10 08:03:27.
0.126125, 15200, 2018-03-10 08:05:22.
0.128556, 15250, 2018-03-10 08:07:13.
0.126528, 15300, 2018-03-10 08:09:04.
0.127319, 15350, 2018-03-10 08:10:55.
0.132946, 15400, 2018-03-10 08:12:52.
0.129719, 15450, 2018-03-10 08:14:43.
0.13087, 15500, 2018-03-10 08:16:36.
0.125814, 15550, 2018-03-10 08:18:34.
0.12602, 15600, 2018-03-10 08:20:29.
0.133425, 15650, 2018-03-10 08:22:23.
0.126879, 15700, 2018-03-10 08:24:16.
0.128431, 15750, 2018-03-10 08:26:11.
0.127053, 15800, 2018-03-10 08:28:05.
0.126215, 15850, 2018-03-10 08:29:56.
0.12882, 15900, 2018-03-10 08:31:51.
0.126438, 15950, 2018-03-10 08:33:44.
0.131484, 16000, 2018-03-10 08:35:35.
0.127593, 16050, 2018-03-10 08:37:25.
0.125315, 16100, 2018-03-10 08:39:18.
0.128839, 16150, 2018-03-10 08:41:10.
0.127411, 16200, 2018-03-10 08:43:04.
0.125924, 16250, 2018-03-10 08:44:59.
0.125006, 16300, 2018-03-10 08:46:53.
0.12608, 16350, 2018-03-10 08:48:48.
0.126649, 16400, 2018-03-10 08:50:40.
0.134899, 16450, 2018-03-10 08:52:33.
0.136357, 16500, 2018-03-10 08:54:23.
0.12932, 16550, 2018-03-10 08:56:16.
0.125576, 16600, 2018-03-10 08:58:09.
0.126601, 16650, 2018-03-10 09:00:02.
0.127363, 16700, 2018-03-10 09:01:52.
0.126039, 16750, 2018-03-10 09:03:44.
0.125383, 16800, 2018-03-10 09:05:40.
0.126121, 16850, 2018-03-10 09:07:33.
0.124123, 16900, 2018-03-10 09:09:27.
0.128171, 16950, 2018-03-10 09:11:23.
0.127047, 17000, 2018-03-10 09:13:13.
0.125626, 17050, 2018-03-10 09:15:05.
0.124445, 17100, 2018-03-10 09:16:57.
0.126884, 17150, 2018-03-10 09:18:53.
0.125709, 17200, 2018-03-10 09:20:47.
0.127663, 17250, 2018-03-10 09:22:39.
0.125857, 17300, 2018-03-10 09:24:30.
0.12432, 17350, 2018-03-10 09:26:24.
0.123969, 17400, 2018-03-10 09:28:21.
0.130588, 17450, 2018-03-10 09:30:12.
0.131424, 17500, 2018-03-10 09:32:06.
0.131427, 17550, 2018-03-10 09:33:57.
0.126441, 17600, 2018-03-10 09:35:52.
0.135149, 17650, 2018-03-10 09:37:45.
0.131508, 17700, 2018-03-10 09:39:37.
0.125094, 17750, 2018-03-10 09:41:33.
0.125596, 17800, 2018-03-10 09:43:27.
0.125053, 17850, 2018-03-10 09:45:21.
0.124085, 17900, 2018-03-10 09:47:11.
0.124143, 17950, 2018-03-10 09:49:05.
0.224268, 18000, 2018-03-10 09:51:01.
0.123967, 18050, 2018-03-10 09:52:58.
0.131543, 18100, 2018-03-10 09:54:48.
0.125894, 18150, 2018-03-10 09:56:43.
0.125367, 18200, 2018-03-10 09:58:34.
0.126191, 18250, 2018-03-10 10:00:30.
0.135653, 18300, 2018-03-10 10:02:25.
0.124449, 18350, 2018-03-10 10:04:18.
0.128765, 18400, 2018-03-10 10:06:09.
0.124356, 18450, 2018-03-10 10:08:05.
0.12325, 18500, 2018-03-10 10:10:00.
0.126314, 18550, 2018-03-10 10:11:55.
0.124971, 18600, 2018-03-10 10:13:48.
0.143065, 18650, 2018-03-10 10:15:43.
0.128482, 18700, 2018-03-10 10:17:37.
0.12529, 18750, 2018-03-10 10:19:32.
0.124599, 18800, 2018-03-10 10:21:21.
0.131933, 18850, 2018-03-10 10:23:17.
0.125986, 18900, 2018-03-10 10:25:08.
0.124217, 18950, 2018-03-10 10:27:01.
0.124926, 19000, 2018-03-10 10:28:54.
0.124469, 19050, 2018-03-10 10:30:49.
0.122562, 19100, 2018-03-10 10:32:44.
0.122628, 19150, 2018-03-10 10:34:41.
0.122993, 19200, 2018-03-10 10:36:34.
0.124091, 19250, 2018-03-10 10:38:25.
0.123855, 19300, 2018-03-10 10:40:20.
0.125743, 19350, 2018-03-10 10:42:12.
0.128825, 19400, 2018-03-10 10:44:06.
0.124838, 19450, 2018-03-10 10:45:59.
0.127544, 19500, 2018-03-10 10:47:54.
0.126761, 19550, 2018-03-10 10:49:49.
0.123197, 19600, 2018-03-10 10:51:39.
0.122464, 19650, 2018-03-10 10:53:31.
0.122897, 19700, 2018-03-10 10:55:26.
0.126133, 19750, 2018-03-10 10:57:20.
0.125244, 19800, 2018-03-10 10:59:12.
0.122915, 19850, 2018-03-10 11:01:05.
0.124033, 19900, 2018-03-10 11:02:59.
0.124612, 19950, 2018-03-10 11:04:50.
0.123054, 20000, 2018-03-10 11:06:43.
0.124174, 20050, 2018-03-10 11:08:35.
0.124185, 20100, 2018-03-10 11:10:32.
0.1244, 20150, 2018-03-10 11:12:23.
0.122595, 20200, 2018-03-10 11:14:16.
0.126569, 20250, 2018-03-10 11:16:10.
0.121969, 20300, 2018-03-10 11:18:06.
0.122496, 20350, 2018-03-10 11:19:59.
0.123564, 20400, 2018-03-10 11:21:53.
0.122359, 20450, 2018-03-10 11:23:44.
0.121481, 20500, 2018-03-10 11:25:39.
0.123271, 20550, 2018-03-10 11:27:32.
0.137308, 20600, 2018-03-10 11:29:27.
0.125276, 20650, 2018-03-10 11:31:21.
0.125067, 20700, 2018-03-10 11:33:13.
